номер образца,выигрыш ppm,ppm. без корр. LP,ppm. с корр. LP,ppm. без корр. INT,ppm. с корр. INT,коэфф. без корр. LP,коэфф. с корр. LP,коэфф. без корр. INT,коэфф. с корр. INT
1,0.0,0.9113654239061234,0.9113654239061234,,, 45 14 104 77 6 15 12 0 5 0 7, 45 14 104 77 6 15 12 0 5 0 7,,
3,0.0,1.3623905085440078,1.3623905085440078,,, 19 21 102 70 0 3 7 0 10 0 7, 19 21 102 70 0 3 7 0 10 0 7,,
6,-0.008775432200591515,0.6723723342136513,0.6811477664142428,,, 22 15 146 71 12 0 10 0 13 0 7, 22 15 146 71 12 0 10 0 13 0 7,,
9,0.0,0.9521162143656978,0.9521162143656978,,, 29 15 165 100 10 0 10 0 11 0 7, 29 15 165 100 10 0 10 0 11 0 7,,
10,-0.0018582853221781326,0.9285381471953258,0.9303964325175039,,, 50 13 65 82 5 27 14 0 1 0 7, 51 14 60 73 4 28 12 0 0 0 7,,
11,0.0,0.8191360515784739,0.8191360515784739,,, 32 14 107 52 10 10 14 0 13 0 7, 32 14 107 52 10 10 14 0 13 0 7,,
12,0.0,1.1187018262871795,1.1187018262871795,,, 59 20 58 73 1 30 6 0 5 0 7, 59 20 58 73 1 30 6 0 5 0 7,,
13,0.0,0.8269630272145173,0.8269630272145173,,, 47 15 104 111 6 29 12 0 0 0 7, 47 15 104 111 6 29 12 0 0 0 7,,
14,0.0,0.8204804160779915,0.8204804160779915,,, 44 16 105 67 2 21 12 0 14 0 7, 44 16 105 67 2 21 12 0 14 0 7,,
15,0.0,1.0938245160643656,1.0938245160643656,,, 54 13 108 120 2 22 14 0 0 0 7, 54 13 108 120 2 22 14 0 0 0 7,,
17,0.0,0.7911890935778428,0.7911890935778428,,, 44 17 104 82 2 22 9 0 0 0 7, 44 17 104 82 2 22 9 0 0 0 7,,
19,0.0,0.7941150239906141,0.7941150239906141,,, 55 15 99 105 2 27 12 0 2 0 7, 55 15 99 105 2 27 12 0 2 0 7,,
21,0.0,0.6949709704586019,0.6949709704586019,,, 37 14 139 78 10 6 11 0 14 0 7, 37 14 139 78 10 6 11 0 14 0 7,,
23,0.0,0.7818034718541871,0.7818034718541871,,, 24 20 123 57 5 9 6 0 15 0 7, 24 20 123 57 5 9 6 0 15 0 7,,
24,0.0,0.9392363224203494,0.9392363224203494,,, 12 19 114 29 11 7 5 0 15 0 7, 12 19 114 29 11 7 5 0 15 0 7,,
25,0.0,0.9212390316281982,0.9212390316281982,,, 30 15 135 80 6 5 13 0 15 0 7, 30 15 135 80 6 5 13 0 15 0 7,,
26,0.0,0.8372891555859536,0.8372891555859536,,, 34 15 110 49 9 8 9 0 15 0 7, 34 15 110 49 9 8 9 0 15 0 7,,
27,0.0,0.8975154595761065,0.8975154595761065,,, 57 14 129 125 0 19 11 0 0 0 7, 57 14 129 125 0 19 11 0 0 0 7,,
